,0,1,2,3,4
epoch, 400.00000, 400.00000, 400.00000, 400.00000, 400.00000
val_energy_within_threshold,   0.64983,   0.60371,   0.65261,   0.63406,   0.58685
val_mae,   0.04014,   0.03756,   0.03323,   0.03373,   0.04999
best_energy_within_threshold,   0.66162,   0.65430,   0.72175,   0.68803,   0.66779
best_epoch, 386.00000, 209.00000, 346.00000, 233.00000, 303.00000
trn_loss,   0.03842,   0.03862,   0.04024,   0.03922,   0.03871
trn_energy_within_threshold,   0.63354,   0.60610,   0.61985,   0.61633,   0.56564
