,0,1,2,3,4
epoch, 200.00000, 200.00000, 200.00000, 200.00000, 200.00000
val_energy_within_threshold,   0.70707,   0.80607,   0.81619,   0.81788,   0.75379
val_mae,   0.01760,   0.01213,   0.01297,   0.01314,   0.01351
best_energy_within_threshold,   0.73737,   0.82968,   0.82968,   0.82631,   0.78583
best_epoch, 170.00000, 147.00000, 199.00000, 191.00000, 173.00000
trn_loss,   0.01464,   0.01189,   0.01422,   0.01290,   0.01404
trn_energy_within_threshold,   0.75201,   0.82091,   0.75929,   0.80881,   0.75412
