,0,1,2,3,4
epoch, 100.00000, 100.00000, 100.00000, 100.00000, 100.00000
val_energy_within_threshold,   0.78451,   0.70826,   0.72850,   0.74874,   0.79089
val_mae,   0.01629,   0.01458,   0.01824,   0.01450,   0.01560
best_energy_within_threshold,   0.78451,   0.73862,   0.75379,   0.76728,   0.79089
best_epoch,  92.00000,  99.00000,  89.00000,  97.00000, 100.00000
trn_loss,   0.01408,   0.01505,   0.01818,   0.01628,   0.01843
trn_energy_within_threshold,   0.78386,   0.72482,   0.72141,   0.71037,   0.68329
