epoch,best_epoch,trn_loss,trn_energy_within_threshold,val_mae,val_energy_within_threshold,best_energy_within_threshold
81,68,   0.00483,   0.94833,   0.00627,   0.92414,   0.92448
82,82,   0.00484,   0.94750,   0.00649,   0.92481,   0.92481
83,82,   0.00489,   0.94724,   0.00663,   0.92347,   0.92481
84,82,   0.01038,   0.87159,   0.01003,   0.88975,   0.92481
85,82,   0.05112,   0.61034,   0.43145,   0.00236,   0.92481
86,82,   0.15605,   0.19779,   0.12402,   0.27512,   0.92481
87,82,   0.12463,   0.28974,   0.11607,   0.44268,   0.92481
88,82,   0.11840,   0.34531,   0.11204,   0.43763,   0.92481
89,82,   0.11740,   0.32894,   0.11374,   0.31895,   0.92481
90,82,   0.12001,   0.28171,   0.11605,   0.18881,   0.92481
91,82,   0.10536,   0.35295,   0.08447,   0.40290,   0.92481
92,82,   0.13239,   0.20129,   0.15885,   0.22488,   0.92481
93,82,   0.10515,   0.29764,   0.03372,   0.45651,   0.92481
94,82,   0.11024,   0.24541,   0.10817,   0.41032,   0.92481
95,82,   0.11285,   0.32610,   0.11202,   0.28220,   0.92481
96,82,   0.11446,   0.32297,   0.11271,   0.32063,   0.92481
97,82,   0.11126,   0.37221,   0.10750,   0.41908,   0.92481
98,82,   0.10989,   0.47010,   0.10652,   0.40627,   0.92481
99,82,   0.11053,   0.41498,   0.11554,   0.23803,   0.92481
100,82,   0.11180,   0.35342,   0.10683,   0.42852,   0.92481
101,82,   0.11095,   0.41104,   0.11067,   0.17060,   0.92481
102,82,   0.11252,   0.38685,   0.10954,   0.26871,   0.92481
103,82,   0.11213,   0.42617,   0.10743,   0.52731,   0.92481
104,82,   0.11378,   0.35505,   0.11011,   0.36143,   0.92481
105,82,   0.12018,   0.37584,   0.14196,   0.19757,   0.92481
106,82,   0.12059,   0.31145,   0.11396,   0.25253,   0.92481
107,82,   0.12787,   0.21697,   0.11036,   0.46359,   0.92481
108,82,   0.13762,   0.18418,   0.11962,   0.21982,   0.92481
109,82,   0.11295,   0.25588,   0.09711,   0.35705,   0.92481
110,82,   0.08829,   0.26645,   0.08396,   0.06541,   0.92481
111,82,   0.05452,   0.29771,   0.04549,   0.14902,   0.92481
112,82,   0.04127,   0.30018,   0.02620,   0.43189,   0.92481
113,82,   0.02315,   0.56548,   0.02326,   0.61969,   0.92481
114,82,   0.02342,   0.54745,   0.03535,   0.21106,   0.92481
115,82,   0.02954,   0.40783,   0.02306,   0.58665,   0.92481
116,82,   0.02312,   0.54136,   0.01838,   0.70128,   0.92481
117,82,   0.01952,   0.68146,   0.02690,   0.62744,   0.92481
118,82,   0.02110,   0.62769,   0.01741,   0.72556,   0.92481
119,82,   0.01867,   0.70609,   0.02217,   0.67397,   0.92481
120,82,   0.02098,   0.63577,   0.02065,   0.66352,   0.92481
121,82,   0.01787,   0.72616,   0.01904,   0.70061,   0.92481
122,82,   0.01930,   0.70372,   0.01719,   0.70735,   0.92481
123,82,   0.01791,   0.72457,   0.02095,   0.71645,   0.92481
124,82,   0.01817,   0.72591,   0.01754,   0.73432,   0.92481
125,82,   0.01605,   0.74976,   0.01747,   0.74140,   0.92481
126,82,   0.01665,   0.74912,   0.01629,   0.76703,   0.92481
127,82,   0.01655,   0.75458,   0.01722,   0.74747,   0.92481
128,82,   0.01571,   0.75976,   0.01627,   0.73938,   0.92481
129,82,   0.01538,   0.75615,   0.01655,   0.74781,   0.92481
130,82,   0.01522,   0.75929,   0.01570,   0.74713,   0.92481
131,82,   0.01538,   0.75741,   0.01626,   0.75826,   0.92481
132,82,   0.01528,   0.76059,   0.01578,   0.76231,   0.92481
133,82,   0.01534,   0.76477,   0.01586,   0.73736,   0.92481
134,82,   0.01526,   0.76292,   0.01566,   0.75725,   0.92481
135,82,   0.01529,   0.76054,   0.01550,   0.75084,   0.92481
136,82,   0.01504,   0.76076,   0.01607,   0.76197,   0.92481
137,82,   0.05783,   0.35742,   0.16512,   0.01922,   0.92481
138,82,   0.19348,   0.24669,   0.08412,   0.37829,   0.92481
139,82,   0.04412,   0.40398,   0.04172,   0.23635,   0.92481
140,82,   0.03559,   0.36965,   0.05349,   0.22488,   0.92481
141,82,   0.03563,   0.34550,   0.02618,   0.53102,   0.92481
142,82,   0.03162,   0.39632,   0.02083,   0.66049,   0.92481
143,82,   0.02300,   0.63217,   0.02542,   0.54653,   0.92481
144,82,   0.02563,   0.54512,   0.04027,   0.23163,   0.92481
145,82,   0.02747,   0.46853,   0.02000,   0.69488,   0.92481
146,82,   0.02200,   0.66922,   0.01913,   0.70364,   0.92481
147,82,   0.02453,   0.57610,   0.02246,   0.65374,   0.92481
148,82,   0.02026,   0.71044,   0.02079,   0.70971,   0.92481
149,82,   0.02383,   0.59835,   0.03394,   0.36413,   0.92481
150,82,   0.02543,   0.53701,   0.02849,   0.50405,   0.92481
151,82,   0.02424,   0.57345,   0.02053,   0.72117,   0.92481
152,82,   0.02643,   0.50368,   0.02631,   0.45314,   0.92481
153,82,   0.02286,   0.60970,   0.02041,   0.71376,   0.92481
154,82,   0.02225,   0.63062,   0.01849,   0.74983,   0.92481
155,82,   0.02032,   0.69147,   0.02040,   0.72488,   0.92481
156,82,   0.01927,   0.72351,   0.02382,   0.62947,   0.92481
157,82,   0.02174,   0.65939,   0.01836,   0.74815,   0.92481
158,82,   0.02282,   0.63217,   0.02273,   0.66285,   0.92481
159,82,   0.01915,   0.73357,   0.01853,   0.74680,   0.92481
160,82,   0.02037,   0.68950,   0.02953,   0.34727,   0.92481
161,82,   0.01918,   0.72315,   0.01930,   0.76062,   0.92481
162,82,   0.01921,   0.73760,   0.01774,   0.72825,   0.92481
163,82,   0.02352,   0.57364,   0.03042,   0.31018,   0.92481
164,82,   0.02088,   0.65398,   0.02087,   0.75152,   0.92481
165,82,   0.01925,   0.73155,   0.02345,   0.62744,   0.92481
166,82,   0.02091,   0.68438,   0.01905,   0.75590,   0.92481
167,82,   0.02007,   0.70759,   0.01741,   0.76433,   0.92481
168,82,   0.01757,   0.76023,   0.01761,   0.74444,   0.92481
169,82,   0.01749,   0.75062,   0.01864,   0.77613,   0.92481
170,82,   0.01819,   0.74055,   0.02119,   0.73230,   0.92481
171,82,   0.01999,   0.71021,   0.02141,   0.70971,   0.92481
172,82,   0.01871,   0.73461,   0.01881,   0.77512,   0.92481
173,82,   0.01714,   0.75858,   0.01752,   0.75253,   0.92481
174,82,   0.01713,   0.76294,   0.01755,   0.74208,   0.92481
175,82,   0.01662,   0.76183,   0.01681,   0.76871,   0.92481
176,82,   0.01688,   0.76004,   0.01873,   0.74815,   0.92481
177,82,   0.01770,   0.75594,   0.01783,   0.76298,   0.92481
178,82,   0.01901,   0.72889,   0.01695,   0.76534,   0.92481
179,82,   0.01791,   0.74323,   0.01832,   0.76568,   0.92481
180,82,   0.01643,   0.76868,   0.01822,   0.76264,   0.92481
181,82,   0.01631,   0.77633,   0.01771,   0.74916,   0.92481
182,82,   0.01625,   0.77680,   0.01670,   0.76837,   0.92481
183,82,   0.01600,   0.77586,   0.01756,   0.77175,   0.92481
184,82,   0.01701,   0.76882,   0.01762,   0.78119,   0.92481
185,82,   0.01602,   0.77334,   0.01723,   0.75893,   0.92481
186,82,   0.01685,   0.77001,   0.01649,   0.74208,   0.92481
187,82,   0.01618,   0.76736,   0.01641,   0.77647,   0.92481
188,82,   0.01582,   0.77441,   0.01583,   0.78591,   0.92481
189,82,   0.01572,   0.77041,   0.01665,   0.77916,   0.92481
190,82,   0.01562,   0.77192,   0.01599,   0.77377,   0.92481
191,82,   0.01587,   0.77012,   0.01592,   0.77613,   0.92481
192,82,   0.01536,   0.77739,   0.01633,   0.77310,   0.92481
193,82,   0.01551,   0.77179,   0.01566,   0.75893,   0.92481
194,82,   0.01491,   0.78129,   0.01541,   0.78726,   0.92481
195,82,   0.01511,   0.77469,   0.01584,   0.75489,   0.92481
196,82,   0.01537,   0.77477,   0.01583,   0.78962,   0.92481
197,82,   0.01501,   0.77521,   0.01583,   0.75826,   0.92481
198,82,   0.01477,   0.77552,   0.01531,   0.77310,   0.92481
199,82,   0.01451,   0.78286,   0.01510,   0.77613,   0.92481
200,82,   0.01468,   0.78371,   0.01526,   0.78658,   0.92481
201,82,   0.01447,   0.77719,   0.01481,   0.78490,   0.92481
202,82,   0.01417,   0.78028,   0.01514,   0.76399,   0.92481
203,82,   0.01403,   0.78060,   0.01467,   0.78085,   0.92481
204,82,   0.01401,   0.78229,   0.01438,   0.77175,   0.92481
205,82,   0.01386,   0.79259,   0.01492,   0.78355,   0.92481
206,82,   0.01371,   0.79337,   0.01409,   0.78490,   0.92481
207,82,   0.01345,   0.79689,   0.01428,   0.78557,   0.92481
208,82,   0.01363,   0.78442,   0.01420,   0.80040,   0.92481
209,82,   0.01337,   0.79248,   0.01410,   0.79703,   0.92481
210,82,   0.01327,   0.80276,   0.01431,   0.78860,   0.92481
211,82,   0.01320,   0.80148,   0.01447,   0.79164,   0.92481
212,82,   0.01297,   0.80676,   0.01372,   0.80040,   0.92481
213,82,   0.01280,   0.80933,   0.01377,   0.80209,   0.92481
214,82,   0.01280,   0.80949,   0.01382,   0.80479,   0.92481
215,82,   0.01306,   0.80839,   0.01383,   0.80479,   0.92481
216,82,   0.01275,   0.81090,   0.01377,   0.79771,   0.92481
217,82,   0.02653,   0.53567,   0.02698,   0.54922,   0.92481
218,82,   0.02821,   0.48756,   0.02815,   0.37357,   0.92481
219,82,   0.02731,   0.44772,   0.02764,   0.43763,   0.92481
220,82,   0.02464,   0.52221,   0.02331,   0.62913,   0.92481
221,82,   0.02066,   0.63959,   0.01698,   0.72454,   0.92481
222,82,   0.01906,   0.69009,   0.02042,   0.62879,   0.92481
223,82,   0.02021,   0.64716,   0.01611,   0.76804,   0.92481
224,82,   0.01836,   0.69772,   0.02028,   0.71949,   0.92481
