,0,1,2,3,4
epoch, 100.00000, 100.00000, 100.00000, 100.00000, 100.00000
val_energy_within_threshold,   0.64310,   0.69309,   0.75717,   0.74030,   0.67454
val_mae,   0.02044,   0.02185,   0.01715,   0.01737,   0.01794
best_energy_within_threshold,   0.74074,   0.70489,   0.79427,   0.78583,   0.68634
best_epoch,  89.00000,  90.00000,  84.00000,  83.00000,  41.00000
trn_loss,   0.02877,   0.02856,   0.02830,   0.02867,   0.02983
trn_energy_within_threshold,   0.64728,   0.64507,   0.65212,   0.66276,   0.63862
