,0,1,2,3,4
epoch, 100.00000, 100.00000, 100.00000, 100.00000, 100.00000
val_energy_within_threshold,   0.71717,   0.73524,   0.62901,   0.75211,   0.69646
val_mae,   0.02131,   0.02029,   0.02270,   0.01795,   0.02026
best_energy_within_threshold,   0.72054,   0.75885,   0.70995,   0.77403,   0.73019
best_epoch,  99.00000,  92.00000,  67.00000,  91.00000,  72.00000
trn_loss,   0.01973,   0.02032,   0.02049,   0.01878,   0.02058
trn_energy_within_threshold,   0.68213,   0.68605,   0.69122,   0.73609,   0.69245
