,0,1,2,3,4
epoch, 300.00000, 300.00000, 300.00000, 300.00000, 300.00000
val_energy_within_threshold,   0.78788,   0.80270,   0.77234,   0.79089,   0.78078
val_mae,   0.01460,   0.01163,   0.01138,   0.01184,   0.01149
best_energy_within_threshold,   0.79966,   0.82293,   0.82125,   0.80944,   0.84654
best_epoch, 220.00000, 173.00000, 298.00000, 199.00000, 206.00000
trn_loss,   0.01117,   0.01156,   0.01161,   0.01189,   0.01236
trn_energy_within_threshold,   0.83509,   0.81221,   0.79130,   0.79871,   0.79195
