,0,1,2,3,4
epoch, 180.00000, 180.00000, 180.00000, 180.00000, 180.00000
val_energy_within_threshold,   0.78620,   0.81282,   0.81282,   0.79933,   0.80438
val_mae,   0.01133,   0.01162,   0.01118,   0.01096,   0.01145
best_energy_within_threshold,   0.79461,   0.83137,   0.82631,   0.82462,   0.84823
best_epoch, 170.00000, 151.00000, 164.00000, 175.00000,  99.00000
trn_loss,   0.01073,   0.01008,   0.01102,   0.01163,   0.01092
trn_energy_within_threshold,   0.81504,   0.83472,   0.81539,   0.81521,   0.80723
