,0,1,2,3,4
epoch, 400.00000, 400.00000, 400.00000, 400.00000, 400.00000
val_energy_within_threshold,   0.60943,   0.63069,   0.61889,   0.56830,   0.63406
val_mae,   0.03813,   0.03727,   0.03334,   0.03544,   0.04699
best_energy_within_threshold,   0.66162,   0.66948,   0.71164,   0.67285,   0.67454
best_epoch, 293.00000, 353.00000, 277.00000, 266.00000, 396.00000
trn_loss,   0.03809,   0.03738,   0.03895,   0.03889,   0.03547
trn_energy_within_threshold,   0.63905,   0.64481,   0.60987,   0.62766,   0.61868
