,0,1,2,3,4
epoch, 400.00000, 400.00000, 400.00000, 400.00000, 400.00000
val_energy_within_threshold,   0.56566,   0.60202,   0.65936,   0.61551,   0.64587
val_mae,   0.04001,   0.03798,   0.03726,   0.03393,   0.04686
best_energy_within_threshold,   0.65657,   0.66273,   0.67622,   0.68128,   0.69309
best_epoch, 359.00000, 329.00000, 352.00000, 352.00000, 324.00000
trn_loss,   0.03839,   0.03921,   0.04277,   0.04129,   0.03599
trn_energy_within_threshold,   0.64050,   0.63419,   0.55395,   0.55959,   0.60940
