epoch,best_epoch,loss,metric,best_metric
1,322,   0.54349,   0.03809,   0.95378
2,322,   0.13225,   0.23523,   0.95378
3,322,   0.12744,   0.27977,   0.95378
4,322,   0.13237,   0.24145,   0.95378
5,322,   0.11761,   0.32336,   0.95378
6,322,   0.11880,   0.34523,   0.95378
7,322,   0.10930,   0.24450,   0.95378
8,322,   0.08993,   0.33644,   0.95378
9,322,   0.04367,   0.46035,   0.95378
10,322,   0.03694,   0.55924,   0.95378
11,322,   0.05499,   0.30771,   0.95378
12,322,   0.07243,   0.20126,   0.95378
13,322,   0.05792,   0.31188,   0.95378
14,322,   0.03673,   0.40764,   0.95378
15,322,   0.03161,   0.59846,   0.95378
16,322,   0.02888,   0.64471,   0.95378
17,322,   0.02892,   0.67007,   0.95378
18,322,   0.02991,   0.70842,   0.95378
19,322,   0.02948,   0.70315,   0.95378
20,322,   0.03047,   0.70792,   0.95378
21,322,   0.02942,   0.69395,   0.95378
22,322,   0.03063,   0.72100,   0.95378
23,322,   0.03119,   0.72047,   0.95378
24,322,   0.03110,   0.74009,   0.95378
25,322,   0.03094,   0.73938,   0.95378
26,322,   0.03098,   0.57886,   0.95378
27,322,   0.02791,   0.61405,   0.95378
28,322,   0.03118,   0.52678,   0.95378
29,322,   0.03019,   0.60431,   0.95378
30,322,   0.02833,   0.62163,   0.95378
31,322,   0.02593,   0.71585,   0.95378
32,322,   0.02717,   0.74787,   0.95378
33,322,   0.02567,   0.71233,   0.95378
34,322,   0.02538,   0.65936,   0.95378
35,322,   0.02527,   0.74985,   0.95378
36,322,   0.02519,   0.74006,   0.95378
37,322,   0.02594,   0.74580,   0.95378
38,322,   0.02337,   0.75263,   0.95378
39,322,   0.02335,   0.69966,   0.95378
40,322,   0.02489,   0.73369,   0.95378
41,322,   0.02403,   0.75284,   0.95378
42,322,   0.02616,   0.76450,   0.95378
43,322,   0.02381,   0.75660,   0.95378
44,322,   0.02382,   0.76787,   0.95378
45,322,   0.02212,   0.78110,   0.95378
46,322,   0.02339,   0.77444,   0.95378
47,322,   0.02418,   0.78643,   0.95378
48,322,   0.02355,   0.78655,   0.95378
49,322,   0.02552,   0.60334,   0.95378
50,322,   0.02594,   0.66069,   0.95378
51,322,   0.02497,   0.70049,   0.95378
52,322,   0.02545,   0.68635,   0.95378
53,322,   0.02245,   0.69197,   0.95378
54,322,   0.02185,   0.71854,   0.95378
55,322,   0.02285,   0.77974,   0.95378
56,322,   0.02224,   0.74677,   0.95378
57,322,   0.02072,   0.75080,   0.95378
58,322,   0.02047,   0.74725,   0.95378
59,322,   0.02121,   0.75654,   0.95378
60,322,   0.01996,   0.74592,   0.95378
61,322,   0.01933,   0.79223,   0.95378
62,322,   0.01830,   0.80590,   0.95378
63,322,   0.01861,   0.81963,   0.95378
64,322,   0.01830,   0.79906,   0.95378
65,322,   0.01804,   0.83150,   0.95378
66,322,   0.01886,   0.82224,   0.95378
67,322,   0.01816,   0.82608,   0.95378
68,322,   0.01794,   0.82608,   0.95378
69,322,   0.01748,   0.83040,   0.95378
70,322,   0.01753,   0.83070,   0.95378
71,322,   0.01858,   0.83058,   0.95378
72,322,   0.01858,   0.82620,   0.95378
73,322,   0.01824,   0.84192,   0.95378
74,322,   0.01853,   0.84112,   0.95378
75,322,   0.01933,   0.84550,   0.95378
76,322,   0.01955,   0.83520,   0.95378
77,322,   0.01950,   0.83526,   0.95378
78,322,   0.01922,   0.84073,   0.95378
79,322,   0.02089,   0.84126,   0.95378
