epoch,best_epoch,loss,metric,best_metric
1,331,   0.55771,   0.05667,   0.87604
2,331,   0.13574,   0.29380,   0.87604
3,331,   0.12570,   0.33597,   0.87604
4,331,   0.12595,   0.30848,   0.87604
5,331,   0.11849,   0.30099,   0.87604
6,331,   0.10997,   0.30883,   0.87604
7,331,   0.10339,   0.24950,   0.87604
8,331,   0.08816,   0.22627,   0.87604
9,331,   0.05628,   0.26477,   0.87604
10,331,   0.03247,   0.46561,   0.87604
11,331,   0.07649,   0.23281,   0.87604
12,331,   0.15667,   0.20508,   0.87604
13,331,   0.13256,   0.32786,   0.87604
14,331,   0.12094,   0.26977,   0.87604
15,331,   0.06646,   0.27912,   0.87604
16,331,   0.13077,   0.25186,   0.87604
17,331,   0.12553,   0.32712,   0.87604
18,331,   0.13011,   0.36763,   0.87604
19,331,   0.12765,   0.34393,   0.87604
20,331,   0.14080,   0.41528,   0.87604
21,331,   0.12320,   0.36133,   0.87604
22,331,   0.12720,   0.42892,   0.87604
23,331,   0.13309,   0.41093,   0.87604
24,331,   0.13839,   0.39551,   0.87604
25,331,   0.13732,   0.40681,   0.87604
26,331,   0.12656,   0.24405,   0.87604
27,331,   0.05102,   0.32357,   0.87604
28,331,   0.02770,   0.45949,   0.87604
29,331,   0.03131,   0.37914,   0.87604
30,331,   0.02686,   0.44821,   0.87604
31,331,   0.02718,   0.50506,   0.87604
32,331,   0.02659,   0.48580,   0.87604
33,331,   0.02643,   0.54326,   0.87604
34,331,   0.02679,   0.52089,   0.87604
35,331,   0.02701,   0.55880,   0.87604
36,331,   0.02458,   0.60769,   0.87604
37,331,   0.02614,   0.67158,   0.87604
38,331,   0.02566,   0.67842,   0.87604
39,331,   0.02620,   0.69221,   0.87604
40,331,   0.02640,   0.70250,   0.87604
41,331,   0.02884,   0.70857,   0.87604
42,331,   0.02697,   0.71632,   0.87604
43,331,   0.02940,   0.71922,   0.87604
44,331,   0.02807,   0.72491,   0.87604
45,331,   0.02701,   0.72328,   0.87604
46,331,   0.02868,   0.73787,   0.87604
47,331,   0.02598,   0.72810,   0.87604
48,331,   0.02852,   0.74541,   0.87604
49,331,   0.02445,   0.55581,   0.87604
50,331,   0.02456,   0.70836,   0.87604
51,331,   0.02602,   0.49450,   0.87604
52,331,   0.02499,   0.53883,   0.87604
53,331,   0.02327,   0.56721,   0.87604
54,331,   0.02383,   0.65042,   0.87604
55,331,   0.02228,   0.70824,   0.87604
56,331,   0.02133,   0.66051,   0.87604
57,331,   0.02327,   0.59304,   0.87604
58,331,   0.02205,   0.76299,   0.87604
59,331,   0.02058,   0.71091,   0.87604
60,331,   0.01930,   0.74029,   0.87604
61,331,   0.02045,   0.76938,   0.87604
62,331,   0.01896,   0.73799,   0.87604
63,331,   0.01731,   0.72769,   0.87604
64,331,   0.02037,   0.75545,   0.87604
65,331,   0.01792,   0.76542,   0.87604
66,331,   0.01992,   0.72491,   0.87604
67,331,   0.02206,   0.73935,   0.87604
68,331,   0.02184,   0.79001,   0.87604
69,331,   0.02061,   0.78018,   0.87604
70,331,   0.02140,   0.80336,   0.87604
71,331,   0.02215,   0.80676,   0.87604
72,331,   0.02163,   0.80794,   0.87604
73,331,   0.03271,   0.79933,   0.87604
74,331,   0.02310,   0.80791,   0.87604
75,331,   0.02445,   0.81913,   0.87604
76,331,   0.02628,   0.81626,   0.87604
77,331,   0.02487,   0.81860,   0.87604
78,331,   0.02504,   0.81540,   0.87604
79,331,   0.02548,   0.81448,   0.87604
80,331,   0.02721,   0.81611,   0.87604
81,331,   0.02518,   0.81513,   0.87604
82,331,   0.02265,   0.82016,   0.87604
83,331,   0.02276,   0.81167,   0.87604
84,331,   0.02132,   0.72884,   0.87604
85,331,   0.02431,   0.52214,   0.87604
86,331,   0.02460,   0.58677,   0.87604
87,331,   0.11572,   0.42620,   0.87604
88,331,   0.45994,   0.00521,   0.87604
89,331,   0.45613,   0.01400,   0.87604
90,331,   0.43887,   0.01921,   0.87604
91,331,   0.16804,   0.16226,   0.87604
92,331,   0.34632,   0.05404,   0.87604
93,331,   0.14928,   0.12959,   0.87604
94,331,   0.12794,   0.11003,   0.87604
95,331,   0.07028,   0.20901,   0.87604
96,331,   0.04553,   0.29025,   0.87604
97,331,   0.04317,   0.27921,   0.87604
98,331,   0.03568,   0.40187,   0.87604
99,331,   0.03683,   0.36009,   0.87604
100,331,   0.03568,   0.41211,   0.87604
101,331,   0.03607,   0.39557,   0.87604
102,331,   0.03135,   0.45898,   0.87604
103,331,   0.03155,   0.45117,   0.87604
104,331,   0.03297,   0.43513,   0.87604
105,331,   0.03387,   0.39264,   0.87604
106,331,   0.03351,   0.44223,   0.87604
107,331,   0.02955,   0.47908,   0.87604
108,331,   0.03194,   0.47603,   0.87604
109,331,   0.03159,   0.54321,   0.87604
110,331,   0.02940,   0.44839,   0.87604
111,331,   0.02890,   0.54436,   0.87604
112,331,   0.02933,   0.54989,   0.87604
113,331,   0.02804,   0.57230,   0.87604
114,331,   0.03066,   0.49731,   0.87604
115,331,   0.02980,   0.55291,   0.87604
116,331,   0.02848,   0.52400,   0.87604
117,331,   0.02906,   0.59905,   0.87604
118,331,   0.02782,   0.47612,   0.87604
119,331,   0.02704,   0.60784,   0.87604
120,331,   0.02663,   0.60576,   0.87604
121,331,   0.02513,   0.61293,   0.87604
122,331,   0.02602,   0.63589,   0.87604
123,331,   0.02765,   0.59487,   0.87604
124,331,   0.02939,   0.54338,   0.87604
125,331,   0.02533,   0.65601,   0.87604
126,331,   0.02658,   0.67158,   0.87604
127,331,   0.02499,   0.67386,   0.87604
128,331,   0.02632,   0.67708,   0.87604
129,331,   0.02689,   0.70674,   0.87604
130,331,   0.02619,   0.70022,   0.87604
131,331,   0.02642,   0.68321,   0.87604
132,331,   0.02817,   0.67984,   0.87604
