epoch,best_epoch,loss,metric,best_metric
1,308,   0.51562,   0.08440,   0.86470
2,308,   0.12582,   0.25411,   0.86470
3,308,   0.11902,   0.29235,   0.86470
4,308,   0.11774,   0.30410,   0.86470
5,308,   0.11231,   0.32774,   0.86470
6,308,   0.07430,   0.25731,   0.86470
7,308,   0.03990,   0.42747,   0.86470
8,308,   0.03298,   0.53542,   0.86470
9,308,   0.02857,   0.58029,   0.86470
10,308,   0.02544,   0.66229,   0.86470
11,308,   0.04788,   0.35056,   0.86470
12,308,   0.03813,   0.42557,   0.86470
13,308,   0.03730,   0.40320,   0.86470
14,308,   0.03216,   0.46384,   0.86470
15,308,   0.02693,   0.58256,   0.86470
16,308,   0.02575,   0.55469,   0.86470
17,308,   0.02411,   0.58023,   0.86470
18,308,   0.02008,   0.69197,   0.86470
19,308,   0.01955,   0.72177,   0.86470
20,308,   0.01807,   0.72485,   0.86470
21,308,   0.01854,   0.72452,   0.86470
22,308,   0.01712,   0.73636,   0.86470
23,308,   0.01561,   0.75317,   0.86470
24,308,   0.01535,   0.75447,   0.86470
25,308,   0.01596,   0.73627,   0.86470
26,308,   0.02079,   0.65584,   0.86470
27,308,   0.03960,   0.34899,   0.86470
28,308,   0.03069,   0.46330,   0.86470
29,308,   0.02690,   0.47893,   0.86470
30,308,   0.02250,   0.56857,   0.86470
31,308,   0.02405,   0.55333,   0.86470
32,308,   0.02537,   0.49337,   0.86470
33,308,   0.02132,   0.60633,   0.86470
34,308,   0.02010,   0.60372,   0.86470
35,308,   0.01741,   0.69833,   0.86470
36,308,   0.01750,   0.70206,   0.86470
37,308,   0.01671,   0.70094,   0.86470
38,308,   0.01739,   0.70984,   0.86470
39,308,   0.01658,   0.71990,   0.86470
40,308,   0.01533,   0.75610,   0.86470
41,308,   0.01442,   0.75485,   0.86470
42,308,   0.01461,   0.74234,   0.86470
43,308,   0.01260,   0.77302,   0.86470
44,308,   0.01226,   0.76444,   0.86470
45,308,   0.01236,   0.76716,   0.86470
46,308,   0.01233,   0.76012,   0.86470
47,308,   0.01240,   0.76494,   0.86470
48,308,   0.01245,   0.76749,   0.86470
49,308,   0.01635,   0.71552,   0.86470
50,308,   0.01791,   0.69046,   0.86470
51,308,   0.02023,   0.60467,   0.86470
52,308,   0.01962,   0.64243,   0.86470
53,308,   0.01921,   0.64743,   0.86470
54,308,   0.01790,   0.69957,   0.86470
55,308,   0.02262,   0.51521,   0.86470
56,308,   0.01835,   0.67164,   0.86470
57,308,   0.01789,   0.66971,   0.86470
58,308,   0.01728,   0.71070,   0.86470
59,308,   0.01569,   0.72067,   0.86470
60,308,   0.01694,   0.67193,   0.86470
61,308,   0.01760,   0.69913,   0.86470
62,308,   0.01725,   0.72073,   0.86470
63,308,   0.01519,   0.76305,   0.86470
64,308,   0.01390,   0.76151,   0.86470
65,308,   0.01288,   0.77140,   0.86470
66,308,   0.01361,   0.76918,   0.86470
67,308,   0.01303,   0.77838,   0.86470
68,308,   0.01295,   0.78030,   0.86470
69,308,   0.01251,   0.77936,   0.86470
70,308,   0.01339,   0.76950,   0.86470
71,308,   0.01327,   0.78001,   0.86470
72,308,   0.01251,   0.77900,   0.86470
73,308,   0.01290,   0.77190,   0.86470
74,308,   0.01199,   0.77684,   0.86470
75,308,   0.01152,   0.77536,   0.86470
76,308,   0.01192,   0.78063,   0.86470
77,308,   0.01161,   0.77856,   0.86470
78,308,   0.01182,   0.78800,   0.86470
79,308,   0.01171,   0.78110,   0.86470
80,308,   0.01145,   0.77802,   0.86470
81,308,   0.01176,   0.77489,   0.86470
82,308,   0.01135,   0.78226,   0.86470
83,308,   0.01150,   0.77515,   0.86470
84,308,   0.01570,   0.73559,   0.86470
85,308,   0.01898,   0.63367,   0.86470
86,308,   0.01732,   0.71194,   0.86470
87,308,   0.01993,   0.58970,   0.86470
88,308,   0.01546,   0.74553,   0.86470
89,308,   0.01375,   0.76246,   0.86470
90,308,   0.01480,   0.76255,   0.86470
91,308,   0.01542,   0.75133,   0.86470
92,308,   0.01342,   0.76305,   0.86470
93,308,   0.01433,   0.75382,   0.86470
94,308,   0.01313,   0.78545,   0.86470
95,308,   0.01347,   0.77711,   0.86470
96,308,   0.01698,   0.70967,   0.86470
97,308,   0.02510,   0.57854,   0.86470
98,308,   0.01736,   0.69487,   0.86470
99,308,   0.01474,   0.74402,   0.86470
100,308,   0.01575,   0.72931,   0.86470
101,308,   0.01206,   0.79966,   0.86470
102,308,   0.01265,   0.79190,   0.86470
103,308,   0.01266,   0.80167,   0.86470
104,308,   0.01289,   0.78590,   0.86470
105,308,   0.01196,   0.79983,   0.86470
106,308,   0.01255,   0.82179,   0.86470
107,308,   0.01205,   0.79176,   0.86470
108,308,   0.01106,   0.82022,   0.86470
109,308,   0.01175,   0.80839,   0.86470
110,308,   0.01138,   0.81709,   0.86470
111,308,   0.01078,   0.82114,   0.86470
112,308,   0.01205,   0.81578,   0.86470
113,308,   0.01158,   0.81940,   0.86470
114,308,   0.01089,   0.81723,   0.86470
115,308,   0.01109,   0.81333,   0.86470
116,308,   0.01044,   0.82283,   0.86470
117,308,   0.01056,   0.82721,   0.86470
118,308,   0.01023,   0.82966,   0.86470
119,308,   0.01085,   0.82295,   0.86470
120,308,   0.01043,   0.82706,   0.86470
121,308,   0.01028,   0.82499,   0.86470
122,308,   0.01030,   0.83996,   0.86470
123,308,   0.01026,   0.81904,   0.86470
124,308,   0.01032,   0.82712,   0.86470
125,308,   0.01028,   0.82419,   0.86470
126,308,   0.01022,   0.82750,   0.86470
127,308,   0.01033,   0.82203,   0.86470
128,308,   0.00980,   0.82836,   0.86470
129,308,   0.00989,   0.82966,   0.86470
130,308,   0.00988,   0.82863,   0.86470
131,308,   0.01009,   0.82085,   0.86470
132,308,   0.00971,   0.83117,   0.86470
133,308,   0.00958,   0.83632,   0.86470
134,308,   0.00997,   0.82392,   0.86470
135,308,   0.00982,   0.82733,   0.86470
136,308,   0.00985,   0.82810,   0.86470
137,308,   0.01411,   0.78297,   0.86470
138,308,   0.11109,   0.39459,   0.86470
139,308,   0.13568,   0.19410,   0.86470
140,308,   0.12150,   0.28199,   0.86470
141,308,   0.11762,   0.32138,   0.86470
142,308,   0.11396,   0.35926,   0.86470
143,308,   0.10906,   0.36124,   0.86470
144,308,   0.10038,   0.23278,   0.86470
145,308,   0.04854,   0.30143,   0.86470
146,308,   0.03658,   0.40678,   0.86470
147,308,   0.03184,   0.46647,   0.86470
148,308,   0.02537,   0.55436,   0.86470
149,308,   0.02487,   0.54634,   0.86470
150,308,   0.02402,   0.58582,   0.86470
151,308,   0.02244,   0.57925,   0.86470
152,308,   0.02085,   0.62524,   0.86470
153,308,   0.01771,   0.67247,   0.86470
154,308,   0.01838,   0.68827,   0.86470
155,308,   0.01778,   0.69099,   0.86470
156,308,   0.01797,   0.65486,   0.86470
157,308,   0.01996,   0.60446,   0.86470
158,308,   0.01727,   0.70321,   0.86470
159,308,   0.01668,   0.72523,   0.86470
160,308,   0.01913,   0.64302,   0.86470
161,308,   0.01694,   0.72008,   0.86470
162,308,   0.01582,   0.72926,   0.86470
163,308,   0.01427,   0.75290,   0.86470
164,308,   0.01412,   0.75713,   0.86470
165,308,   0.01304,   0.76710,   0.86470
166,308,   0.01421,   0.75284,   0.86470
167,308,   0.01283,   0.77359,   0.86470
168,308,   0.01302,   0.77986,   0.86470
169,308,   0.01558,   0.75778,   0.86470
170,308,   0.01452,   0.76619,   0.86470
171,308,   0.01210,   0.78468,   0.86470
172,308,   0.01373,   0.76722,   0.86470
173,308,   0.01295,   0.78838,   0.86470
174,308,   0.01325,   0.78954,   0.86470
175,308,   0.01233,   0.79060,   0.86470
176,308,   0.01227,   0.79587,   0.86470
