,0,1,2,3,4
epoch, 400.00000, 400.00000, 400.00000, 400.00000, 400.00000
val_energy_within_threshold,   0.63131,   0.49410,   0.44351,   0.52782,   0.61720
val_mae,   0.03987,   0.04103,   0.05997,   0.03662,   0.04937
best_energy_within_threshold,   0.66498,   0.66610,   0.52951,   0.68634,   0.69140
best_epoch, 374.00000, 367.00000, 390.00000, 334.00000, 302.00000
trn_loss,   0.03886,   0.03830,   0.05650,   0.04236,   0.03675
trn_energy_within_threshold,   0.64508,   0.63083,   0.36428,   0.55789,   0.61879
