,0,1,2,3,4
epoch, 300.00000, 300.00000, 300.00000, 300.00000, 300.00000
val_mae,   0.01437,   0.01163,   0.01048,   0.01382,   0.01157
val_energy_within_threshold,   0.78788,   0.79089,   0.80270,   0.74705,   0.82293
best_mae,   0.01415,   0.01157,   0.01042,   0.01315,   0.01119
best_epoch, 289.00000, 294.00000, 295.00000, 262.00000, 266.00000
trn_loss,   0.01137,   0.01214,   0.01160,   0.01364,   0.01230
trn_mae,   0.01142,   0.01219,   0.01170,   0.01370,   0.01231
