,0,1,2,3,4
epoch, 100.00000, 100.00000, 100.00000, 100.00000, 100.00000
val_energy_within_threshold,   0.61785,   0.66948,   0.66779,   0.71669,   0.72007
val_mae,   0.02082,   0.02318,   0.01870,   0.01841,   0.01730
best_energy_within_threshold,   0.73737,   0.71669,   0.79933,   0.74199,   0.79089
best_epoch,  92.00000,  86.00000,  77.00000,  79.00000,  65.00000
trn_loss,   0.01891,   0.02120,   0.01811,   0.01994,   0.02018
trn_energy_within_threshold,   0.71181,   0.65204,   0.73404,   0.69004,   0.65839
